ts,ts_iso_utc,window_seconds,file_modification_rate,rename_count,file_creation_count,file_deletion_count,cpu_usage_percent,memory_usage_percent,process_spike
1772712613.0568976,2026-03-05T12:10:13.056901+00:00,5,0,0,0,0,4.3,55.5,0
1772712618.0643165,2026-03-05T12:10:18.064320+00:00,5,0,0,0,0,4.5,55.1,0
1772712623.070873,2026-03-05T12:10:23.070877+00:00,5,0,0,0,0,5.1,55.1,0
1772712628.0781357,2026-03-05T12:10:28.078140+00:00,5,0,0,0,0,4.8,55.1,0
1772712633.0852318,2026-03-05T12:10:33.085235+00:00,5,0,0,0,0,4.3,55.1,-1
1772712638.0916467,2026-03-05T12:10:38.091649+00:00,5,0,0,0,0,5.0,55.1,0
1772712643.0987558,2026-03-05T12:10:43.098759+00:00,5,0,0,0,0,4.7,55.1,2
1772712648.1056027,2026-03-05T12:10:48.105606+00:00,5,0,0,0,0,4.6,55.1,-2
1772712653.113218,2026-03-05T12:10:53.113222+00:00,5,0,0,0,0,4.4,55.1,0
1772712658.1198103,2026-03-05T12:10:58.119813+00:00,5,0,0,0,0,5.9,55.0,0
1772712663.125957,2026-03-05T12:11:03.125960+00:00,5,0,0,0,0,5.3,55.0,2
1772712668.1336956,2026-03-05T12:11:08.133698+00:00,5,0,0,0,0,4.8,55.0,-2
1772712673.1402674,2026-03-05T12:11:13.140270+00:00,5,0,0,0,0,4.4,55.1,0
1772712678.1459837,2026-03-05T12:11:18.145986+00:00,5,0,0,0,0,3.9,55.0,0
1772712683.1525397,2026-03-05T12:11:23.152543+00:00,5,0,0,0,0,3.7,55.1,0
1772712688.159846,2026-03-05T12:11:28.159848+00:00,5,0,0,0,0,4.0,55.1,0
1772712693.1671636,2026-03-05T12:11:33.167168+00:00,5,0,0,0,0,3.4,55.0,0
1772712698.1746638,2026-03-05T12:11:38.174666+00:00,5,0,0,0,0,3.1,55.0,0
1772712703.1802428,2026-03-05T12:11:43.180246+00:00,5,0,0,0,0,3.4,55.0,0
1772712708.1873422,2026-03-05T12:11:48.187344+00:00,5,0,0,0,0,3.2,55.0,0
1772712713.1933806,2026-03-05T12:11:53.193383+00:00,5,0,0,0,0,4.4,55.4,1
1772712718.199708,2026-03-05T12:11:58.199711+00:00,5,0,0,0,0,3.3,55.4,0
1772712723.2057362,2026-03-05T12:12:03.205739+00:00,5,0,0,0,0,4.7,55.7,2
1772712728.2118587,2026-03-05T12:12:08.211861+00:00,5,0,0,0,0,4.3,55.7,0
1772712733.2181027,2026-03-05T12:12:13.218105+00:00,5,0,0,0,0,3.3,55.6,0
1772712738.2251968,2026-03-05T12:12:18.225200+00:00,5,0,0,0,0,3.0,55.6,0
1772712743.232195,2026-03-05T12:12:23.232198+00:00,5,0,0,0,0,4.1,55.4,0
1772712748.2386432,2026-03-05T12:12:28.238646+00:00,5,0,0,0,0,3.4,55.4,2
1772712753.2456105,2026-03-05T12:12:33.245615+00:00,5,0,0,0,0,4.8,55.4,-1
1772712758.253223,2026-03-05T12:12:38.253226+00:00,5,0,0,0,0,4.5,55.5,0
1772712763.2600157,2026-03-05T12:12:43.260019+00:00,5,0,0,0,0,3.9,55.5,0
1772712768.267506,2026-03-05T12:12:48.267508+00:00,5,0,0,0,0,4.1,55.4,0
1772712773.2746692,2026-03-05T12:12:53.274672+00:00,5,0,0,0,0,3.8,55.5,0
1772712778.2809553,2026-03-05T12:12:58.280957+00:00,5,0,0,0,0,4.6,55.5,0
1772712783.2877276,2026-03-05T12:13:03.287730+00:00,5,0,0,0,0,6.6,55.7,3
1772712788.2943869,2026-03-05T12:13:08.294390+00:00,5,0,0,0,0,4.4,55.5,-1
1772712793.3012412,2026-03-05T12:13:13.301244+00:00,5,0,0,0,0,4.7,55.5,0
1772712798.3076952,2026-03-05T12:13:18.307699+00:00,5,0,0,0,0,6.0,55.4,0
1772712803.3152106,2026-03-05T12:13:23.315214+00:00,5,0,0,0,0,4.8,55.4,0
1772712808.3216293,2026-03-05T12:13:28.321631+00:00,5,0,0,0,0,9.7,55.9,0
1772712813.3306,2026-03-05T12:13:33.330602+00:00,5,0,0,0,0,11.4,56.4,0
1772712818.3384597,2026-03-05T12:13:38.338462+00:00,5,0,0,0,0,9.9,56.0,-2
1772712823.3460834,2026-03-05T12:13:43.346085+00:00,5,0,0,0,0,13.3,56.4,4
1772712828.3538368,2026-03-05T12:13:48.353840+00:00,5,0,0,0,0,19.8,57.2,0
1772712833.3622668,2026-03-05T12:13:53.362269+00:00,5,0,0,0,0,14.0,57.3,-1
1772712838.3714716,2026-03-05T12:13:58.371477+00:00,5,0,0,0,0,9.9,57.2,0
1772712843.3794754,2026-03-05T12:14:03.379479+00:00,5,0,0,0,0,12.2,57.1,-1
1772712848.3868861,2026-03-05T12:14:08.386888+00:00,5,0,0,0,0,10.6,57.2,0
1772712853.394242,2026-03-05T12:14:13.394244+00:00,5,0,0,0,0,12.8,57.3,0
1772712858.4021206,2026-03-05T12:14:18.402123+00:00,5,0,0,0,0,12.2,57.2,3
1772712863.409309,2026-03-05T12:14:23.409312+00:00,5,0,0,0,0,8.6,56.4,-2
1772712868.4170008,2026-03-05T12:14:28.417004+00:00,5,0,0,0,0,15.1,56.8,-1
1772712873.4282737,2026-03-05T12:14:33.428277+00:00,5,0,0,0,0,14.9,56.9,-1
1772712878.4358616,2026-03-05T12:14:38.435864+00:00,5,0,0,0,0,11.6,57.1,0
1772712883.4440603,2026-03-05T12:14:43.444064+00:00,5,0,0,0,0,7.6,56.8,-2
1772712888.452374,2026-03-05T12:14:48.452377+00:00,5,0,0,0,0,4.1,56.7,0
1772712893.4597652,2026-03-05T12:14:53.459769+00:00,5,0,0,0,0,8.5,56.8,0
1772712898.467518,2026-03-05T12:14:58.467522+00:00,5,0,0,0,0,8.0,56.7,0
1772712903.4782252,2026-03-05T12:15:03.478228+00:00,5,0,0,0,0,5.4,56.6,0
1772712908.4898746,2026-03-05T12:15:08.489878+00:00,5,0,0,0,0,7.6,56.8,0
1772712913.4991796,2026-03-05T12:15:13.499183+00:00,5,0,0,0,0,6.6,56.9,-1
1772712918.5069306,2026-03-05T12:15:18.506934+00:00,5,0,0,0,0,6.8,56.9,0
1772712923.51468,2026-03-05T12:15:23.514683+00:00,5,0,0,0,0,5.9,57.2,1
1772712928.5231023,2026-03-05T12:15:28.523104+00:00,5,0,0,0,0,10.7,57.8,2
1772712933.530518,2026-03-05T12:15:33.530521+00:00,5,0,0,0,0,10.1,57.7,-2
1772712938.5401647,2026-03-05T12:15:38.540167+00:00,5,0,0,0,0,10.9,58.0,0
1772712943.5495486,2026-03-05T12:15:43.549551+00:00,5,0,0,0,0,7.9,57.9,0
1772712948.5566418,2026-03-05T12:15:48.556645+00:00,5,0,0,0,0,3.8,57.9,0
1772712953.5646408,2026-03-05T12:15:53.564644+00:00,5,0,0,0,0,5.1,57.7,0
1772712958.5766773,2026-03-05T12:15:58.576680+00:00,5,0,0,0,0,10.7,57.7,-1
1772712963.5843654,2026-03-05T12:16:03.584370+00:00,5,0,0,0,0,5.0,57.1,0
1772712968.590965,2026-03-05T12:16:08.590968+00:00,5,0,0,0,0,5.3,57.1,0
1772712973.6116097,2026-03-05T12:16:13.611613+00:00,5,0,0,0,0,9.0,57.8,2
1772712978.6187892,2026-03-05T12:16:18.618792+00:00,5,0,0,0,0,5.6,57.8,-2
1772712983.6251638,2026-03-05T12:16:23.625166+00:00,5,0,0,0,0,9.2,57.8,0
1772712988.6333973,2026-03-05T12:16:28.633401+00:00,5,0,0,0,0,6.7,57.8,0
1772712993.6418989,2026-03-05T12:16:33.641901+00:00,5,0,0,0,0,8.0,57.8,0
1772712998.650373,2026-03-05T12:16:38.650377+00:00,5,0,0,0,0,10.6,57.8,0
1772713003.657555,2026-03-05T12:16:43.657558+00:00,5,0,0,0,0,5.8,57.7,0
1772713008.6635437,2026-03-05T12:16:48.663546+00:00,5,0,0,0,0,5.7,57.2,0
1772713013.6700404,2026-03-05T12:16:53.670044+00:00,5,0,0,0,0,5.0,57.2,0
1772713018.677303,2026-03-05T12:16:58.677307+00:00,5,0,0,0,0,5.5,57.2,0
1772713023.683417,2026-03-05T12:17:03.683419+00:00,5,0,0,0,0,6.8,57.9,2
1772713028.689951,2026-03-05T12:17:08.689954+00:00,5,0,0,0,0,11.2,57.9,0
1772713033.6971142,2026-03-05T12:17:13.697117+00:00,5,0,0,0,0,14.8,57.9,0
1772713038.7039201,2026-03-05T12:17:18.703922+00:00,5,0,0,0,0,6.3,58.0,2
1772713043.7121742,2026-03-05T12:17:23.712177+00:00,5,0,0,0,0,14.1,57.8,-2
1772713048.7262795,2026-03-05T12:17:28.726282+00:00,5,0,0,0,0,15.5,58.0,0
1772713053.732591,2026-03-05T12:17:33.732593+00:00,5,0,0,0,0,13.6,58.0,0
1772713058.7394254,2026-03-05T12:17:38.739429+00:00,5,0,0,0,0,9.1,57.9,0
1772713063.7466693,2026-03-05T12:17:43.746671+00:00,5,0,0,0,0,7.8,57.8,0
1772713068.7534907,2026-03-05T12:17:48.753495+00:00,5,0,0,0,0,11.3,57.8,0
1772713073.7594595,2026-03-05T12:17:53.759462+00:00,5,0,0,0,0,11.5,57.4,0
1772713078.7658846,2026-03-05T12:17:58.765887+00:00,5,0,0,0,0,11.4,57.8,0
1772713083.7732608,2026-03-05T12:18:03.773263+00:00,5,0,0,0,0,13.9,57.8,1
1772713088.78017,2026-03-05T12:18:08.780172+00:00,5,0,0,0,0,10.4,57.5,-3
1772713093.7869194,2026-03-05T12:18:13.786922+00:00,5,0,0,0,0,7.2,57.5,0
1772713098.7961392,2026-03-05T12:18:18.796143+00:00,5,0,0,0,0,6.2,57.5,0
1772713103.8020048,2026-03-05T12:18:23.802007+00:00,5,0,0,0,0,6.2,57.5,0
1772713108.8120909,2026-03-05T12:18:28.812094+00:00,5,0,0,0,0,7.2,57.5,0
1772713113.8185985,2026-03-05T12:18:33.818601+00:00,5,0,0,0,0,5.9,57.5,0
1772713118.825713,2026-03-05T12:18:38.825715+00:00,5,0,0,0,0,6.3,57.5,0
1772713123.8326464,2026-03-05T12:18:43.832649+00:00,5,0,0,0,0,8.6,57.5,0
1772713128.839834,2026-03-05T12:18:48.839837+00:00,5,0,0,0,0,7.1,57.9,1
1772713133.8465528,2026-03-05T12:18:53.846556+00:00,5,0,0,0,0,7.1,58.1,0
1772713138.8531525,2026-03-05T12:18:58.853157+00:00,5,0,0,0,0,10.7,58.5,1
1772713143.8599222,2026-03-05T12:19:03.859925+00:00,5,0,0,0,0,5.1,58.7,3
1772713148.8672237,2026-03-05T12:19:08.867227+00:00,5,0,0,0,0,13.8,58.9,1
1772713153.8743837,2026-03-05T12:19:13.874387+00:00,5,0,0,0,0,10.2,58.9,-2
1772713158.8825266,2026-03-05T12:19:18.882530+00:00,5,0,0,0,0,2.7,58.7,0
1772713163.889106,2026-03-05T12:19:23.889108+00:00,5,0,0,0,0,3.2,58.6,0
1772713168.8949654,2026-03-05T12:19:28.894968+00:00,5,0,0,0,0,2.8,58.3,-1
1772713173.9020555,2026-03-05T12:19:33.902060+00:00,5,0,0,0,0,8.3,57.8,0
1772713178.9097762,2026-03-05T12:19:38.909779+00:00,5,0,0,0,0,8.2,57.8,0
1772713183.9187698,2026-03-05T12:19:43.918774+00:00,5,0,0,0,0,4.5,57.9,0
1772713188.9259899,2026-03-05T12:19:48.925992+00:00,5,0,0,0,0,7.9,57.9,0
1772713193.933493,2026-03-05T12:19:53.933496+00:00,5,0,0,0,0,6.8,57.9,2
1772713198.940346,2026-03-05T12:19:58.940349+00:00,5,0,0,0,0,7.6,57.8,-2
1772713203.947546,2026-03-05T12:20:03.947549+00:00,5,1,0,1,0,9.1,57.8,0
1772713208.9547055,2026-03-05T12:20:08.954710+00:00,5,1,0,0,0,5.4,57.8,0
1772713213.9612875,2026-03-05T12:20:13.961290+00:00,5,0,0,0,0,7.0,57.8,0
1772713218.9681823,2026-03-05T12:20:18.968187+00:00,5,0,0,0,0,7.5,57.8,0
1772713223.9751983,2026-03-05T12:20:23.975202+00:00,5,0,0,0,0,5.3,57.8,0
1772713229.0039155,2026-03-05T12:20:29.003919+00:00,5,0,0,0,0,7.2,57.8,0
1772713234.0116236,2026-03-05T12:20:34.011628+00:00,5,0,0,0,0,6.8,57.8,0
1772713239.0186384,2026-03-05T12:20:39.018642+00:00,5,0,0,0,0,5.3,57.8,-1
1772713244.02839,2026-03-05T12:20:44.028392+00:00,5,0,0,0,0,4.5,57.8,0
1772713249.0343168,2026-03-05T12:20:49.034319+00:00,5,0,0,0,0,6.6,57.0,0
1772713254.0412297,2026-03-05T12:20:54.041232+00:00,5,0,0,0,0,5.1,57.0,0
1772713259.0470176,2026-03-05T12:20:59.047020+00:00,5,0,0,0,0,8.5,57.0,2
1772713264.053637,2026-03-05T12:21:04.053641+00:00,5,0,0,0,0,14.1,57.7,-1
1772713269.0705469,2026-03-05T12:21:09.070560+00:00,5,0,0,0,0,7.5,57.8,-1
1772713274.128327,2026-03-05T12:21:14.128330+00:00,5,0,0,0,0,25.6,58.3,4
1772713279.1380136,2026-03-05T12:21:19.138021+00:00,5,0,0,0,0,20.0,59.2,3
1772713284.1486876,2026-03-05T12:21:24.148691+00:00,5,0,0,0,0,8.5,58.8,-1
1772713289.1555688,2026-03-05T12:21:29.155572+00:00,5,0,0,0,0,6.4,58.7,0
1772713294.163555,2026-03-05T12:21:34.163558+00:00,5,0,0,0,0,4.4,58.3,0
1772713299.1699836,2026-03-05T12:21:39.169986+00:00,5,0,0,0,0,9.9,58.7,-1
1772713304.1791093,2026-03-05T12:21:44.179113+00:00,5,0,0,0,0,5.1,59.2,0
1772713309.1856182,2026-03-05T12:21:49.185622+00:00,5,0,0,0,0,4.0,58.9,-1
1772713314.1929252,2026-03-05T12:21:54.192929+00:00,5,0,0,0,0,3.6,58.8,0
1772713319.2002242,2026-03-05T12:21:59.200227+00:00,5,0,0,0,0,2.8,58.7,0
1772713324.2067142,2026-03-05T12:22:04.206718+00:00,5,0,0,0,0,3.9,58.6,2
1772713329.2147126,2026-03-05T12:22:09.214717+00:00,5,0,0,0,0,3.1,58.5,0
1772713334.2221692,2026-03-05T12:22:14.222173+00:00,5,0,0,0,0,2.8,58.6,0
1772713339.2289515,2026-03-05T12:22:19.228955+00:00,5,0,0,0,0,3.1,58.5,-1
1772713344.2360065,2026-03-05T12:22:24.236010+00:00,5,0,0,0,0,2.9,58.5,-1
1772713349.2428434,2026-03-05T12:22:29.242847+00:00,5,0,0,0,0,3.5,58.5,0
1772713354.2494047,2026-03-05T12:22:34.249408+00:00,5,0,0,0,0,3.5,58.2,0
1772713359.256977,2026-03-05T12:22:39.256980+00:00,5,0,0,0,0,4.5,58.1,0
1772713364.2646935,2026-03-05T12:22:44.264698+00:00,5,0,0,0,0,2.9,58.0,0
1772713369.2737877,2026-03-05T12:22:49.273792+00:00,5,0,0,0,0,2.8,58.0,-1
1772713374.2819695,2026-03-05T12:22:54.281974+00:00,5,0,0,0,0,2.8,57.9,0
1772713379.2900035,2026-03-05T12:22:59.290008+00:00,5,0,0,0,0,2.9,57.9,-1
1772713384.2983391,2026-03-05T12:23:04.298344+00:00,5,0,0,0,0,3.8,57.8,-1
1772713389.304753,2026-03-05T12:23:09.304756+00:00,5,0,0,0,0,3.8,57.7,2
1772713394.31338,2026-03-05T12:23:14.313384+00:00,5,0,0,0,0,2.8,57.7,-2
1772713399.3213458,2026-03-05T12:23:19.321350+00:00,5,0,0,0,0,2.7,57.8,0
1772713404.3283827,2026-03-05T12:23:24.328388+00:00,5,0,0,0,0,2.6,57.6,-1
1772713409.335605,2026-03-05T12:23:29.335609+00:00,5,0,0,0,0,2.9,57.6,0
1772713414.3425696,2026-03-05T12:23:34.342573+00:00,5,0,0,0,0,2.9,57.7,2
1772713419.349972,2026-03-05T12:23:39.349975+00:00,5,0,0,0,0,3.9,57.5,-2
1772713424.3573256,2026-03-05T12:23:44.357329+00:00,5,0,0,0,0,3.2,57.6,0
1772713429.3649178,2026-03-05T12:23:49.364922+00:00,5,0,0,0,0,3.3,57.5,0
1772713434.3717837,2026-03-05T12:23:54.371787+00:00,5,0,0,0,0,2.7,57.6,0
1772713439.3791695,2026-03-05T12:23:59.379173+00:00,5,0,0,0,0,3.9,57.5,0
1772713444.3866303,2026-03-05T12:24:04.386634+00:00,5,0,0,0,0,3.7,57.5,0
1772713449.3946404,2026-03-05T12:24:09.394645+00:00,5,0,0,0,0,2.0,57.5,0
1772713454.4016826,2026-03-05T12:24:14.401687+00:00,5,0,0,0,0,3.0,57.5,0
1772713459.4093084,2026-03-05T12:24:19.409311+00:00,5,0,0,0,0,11.6,57.8,3
1772713464.4175377,2026-03-05T12:24:24.417541+00:00,5,0,0,0,0,8.9,57.8,-1
1772713469.4270923,2026-03-05T12:24:29.427095+00:00,5,0,0,0,0,8.5,57.8,0
1772713474.4346697,2026-03-05T12:24:34.434672+00:00,5,0,0,0,0,8.2,57.8,0
1772713479.4432535,2026-03-05T12:24:39.443256+00:00,5,0,0,0,0,9.1,57.8,0
1772713484.451941,2026-03-05T12:24:44.451944+00:00,5,0,0,0,0,8.9,57.9,2
1772713489.4602144,2026-03-05T12:24:49.460217+00:00,5,0,0,0,0,8.4,57.8,-2
1772713494.4696155,2026-03-05T12:24:54.469618+00:00,5,0,0,0,0,7.9,57.8,0
1772713499.4783041,2026-03-05T12:24:59.478307+00:00,5,0,0,0,0,9.9,57.5,0
1772713504.4873562,2026-03-05T12:25:04.487359+00:00,5,0,0,0,0,7.7,57.5,0
1772713509.4964347,2026-03-05T12:25:09.496438+00:00,5,0,0,0,0,8.2,57.5,0
1772713514.5055046,2026-03-05T12:25:14.505507+00:00,5,0,0,0,0,5.7,57.4,0
1772713519.5125892,2026-03-05T12:25:19.512592+00:00,5,0,0,0,0,3.8,57.5,0
1772713524.5209117,2026-03-05T12:25:24.520915+00:00,5,0,0,0,0,4.9,57.5,0
1772713529.5289495,2026-03-05T12:25:29.528953+00:00,5,0,0,0,0,5.5,57.6,2
1772713534.5364347,2026-03-05T12:25:34.536437+00:00,5,0,0,0,0,5.4,57.5,-2
1772713539.544327,2026-03-05T12:25:39.544329+00:00,5,0,0,0,0,5.9,57.7,2
1772713544.551585,2026-03-05T12:25:44.551588+00:00,5,0,0,0,0,7.3,58.0,1
1772713549.5607774,2026-03-05T12:25:49.560780+00:00,5,0,0,0,0,7.2,55.6,0
1772713554.5683198,2026-03-05T12:25:54.568323+00:00,5,0,0,0,0,5.1,55.6,0
1772713559.5771718,2026-03-05T12:25:59.577174+00:00,5,0,0,0,0,4.6,55.6,0
